link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4
405678,1.491798,0.025284,0.163,2,406913,3,3,77,309
433621,0.252078,0.252078,0.517,1,433620,7,14,44,163
434365,1667.3914,0.55414,1.176,7,434366,3,4,11,32
462160,71.57883,0.238735,0.781,4,483609,6,10,51,149
419706,5.162802,0.568162,1.276,3,434449,3,3,6,436
415124,0.60623,0.60623,1.045,1,413982,4,11,66,206
382230,16.271004,0.532062,0.482,3,386162,4,5,72,265
412449,0.138963,0.138963,0.457,1,412032,4,7,62,199
462139,41.252388,0.12569,0.162,4,462140,6,10,51,181
409995,0.35383,0.35383,0.783,1,409674,4,11,66,358
418195,0.5555,0.5555,0.806,1,417863,7,14,38,115
402401,0.429998,0.429998,1.045,1,401878,2,2,3,4
392859,0.481066,0.481066,0.808,1,392476,4,7,67,177
425113,0.693849,0.693849,0.739,1,424303,5,9,85,235
446471,0.251726,0.251726,0.719,1,447384,6,21,79,217
440343,24.074594,0.920315,1.335,4,440344,3,4,80,218
442529,0.73032,0.239257,0.619,2,480389,5,9,29,85
480151,4.324865,0.413728,0.707,3,480152,5,9,91,432
414695,0.164188,0.164188,0.557,1,414166,3,16,41,443
430166,0.23957,0.23957,0.619,1,434402,3,4,9,28
432516,0.277321,0.277321,0.457,1,432012,7,14,50,258
436385,0.403195,0.403195,0.805,1,436379,5,6,14,289
435450,1.247506,0.050406,0.163,2,435451,7,14,50,449
409998,1.89551,0.556063,1.014,2,409999,4,11,27,466
421580,0.265026,0.265026,0.614,1,423167,7,18,64,377
434360,1660.838,0.11327,0.263,7,434361,3,4,11,32
462913,0.364304,0.364304,0.612,1,462497,6,10,26,346
409851,0.391728,0.391728,0.851,1,411483,7,12,58,302
449516,0.314561,0.314561,0.782,1,450377,6,21,79,438
436929,0.781155,0.781155,1.226,1,449678,3,4,57,162
399693,805.18164,0.291019,0.553,6,399694,4,7,16,46
434408,1938.1268,0.113387,0.488,7,434409,3,4,7,26
398193,9.046508,0.480845,0.904,3,398194,2,2,3,316
412033,0.884342,0.265317,0.557,2,411272,4,7,62,199
413526,0.164213,0.164213,0.457,1,414163,3,16,41,443
480350,218.57341,0.47757,0.294,5,480351,5,9,29,109
409472,0.303299,0.303299,0.914,1,408409,4,11,27,78
369792,0.317256,0.317256,0.652,1,369631,0,0,95,409
415120,0.353623,0.353623,0.812,1,415115,4,11,66,347
441583,0.176313,0.176313,0.584,1,441449,5,9,29,85
456127,0.817237,0.817237,1.113,1,454350,6,10,60,212
478584,0.438875,0.438875,0.936,1,479988,6,10,35,110
471717,0.28863,0.28863,0.516,1,471719,6,10,35,414
457183,0.213705,0.213705,0.877,1,457648,6,10,51,149
459738,0.40213,0.40213,1.068,1,480350,5,9,29,109
409474,0.341219,0.341219,0.882,1,408419,4,7,19,288
434424,2137.486,0.063304,0.163,7,434425,3,3,6,21
393994,0.822741,0.822741,1.207,1,395241,4,7,16,46
404674,0.821834,0.821834,0.97,1,405320,4,7,87,314
380945,4.816886,0.228134,0.326,2,380946,4,5,13,233
385845,0.43073,0.43073,0.983,1,386793,4,17,75,444
398030,0.303672,0.303672,0.457,1,434492,2,2,3,5
469881,1.882714,0.301206,0.258,2,469882,6,10,46,293
426266,1.513583,1.513583,2.764,1,428842,5,6,14,45
468202,0.200874,0.200874,0.556,1,468378,6,10,74,201
380132,0.519739,0.076064,0.423,2,379784,4,5,56,257
382549,0.253468,0.253468,0.615,1,381739,4,5,72,265
478004,1.931123,1.05332,1.184,2,478350,5,9,100,441
436082,1.121513,0.189006,0.425,2,436083,6,8,83,274
399721,976.9668,0.037978,0.096,6,399722,4,5,13,36
446474,0.188798,0.188798,0.421,1,449660,3,4,57,225
470456,0.652655,0.652655,1.386,1,471240,6,10,35,339
436931,0.49139,0.49139,1.109,1,435764,3,4,80,218
435405,0.252027,0.252027,0.457,1,434921,5,6,14,289
482975,3.584281,0.350902,0.544,2,483319,6,10,42,182
456128,0.880127,0.880127,1.627,1,454352,6,10,60,212
460530,3.593484,0.276441,0.708,3,480348,5,9,29,473
427860,0.971132,0.264871,0.557,2,428497,7,14,44,270
401878,2.327041,0.189728,0.557,2,401879,2,2,3,4
428878,0.617959,0.617959,1.07,1,428034,3,3,6,243
393244,0.481032,0.481032,0.883,1,394330,4,7,19,351
396163,1.379428,0.012656,0.096,2,395584,4,17,73,395
397064,15.07258,0.316342,0.489,4,397065,4,15,89,239
423308,0.201883,0.201883,0.843,1,424804,7,18,64,188
474295,0.225816,0.225816,0.75,1,480321,5,9,29,131
404505,58.866825,0.227619,0.452,4,404506,4,15,53,160
429494,0.945799,0.945799,1.407,1,427868,7,18,64,429
410970,0.379054,0.379054,0.747,1,410841,3,3,5,344
389765,0.215285,0.215285,0.457,1,399725,4,5,13,36
414167,0.18946,0.18946,0.355,1,414286,3,3,6,334
450904,0.377403,0.377403,0.619,1,480368,5,9,29,93
428325,0.479233,0.479233,0.739,1,428163,5,9,28,76
423000,0.593074,0.593074,1.17,1,426649,7,18,64,188
395232,0.632823,0.632823,1.104,1,392464,4,19,48,146
448930,602.06805,0.390076,0.648,6,448931,6,8,22,61
472175,0.250966,0.250966,0.354,1,472034,6,10,46,209
387493,0.367331,0.367331,0.682,1,386961,4,19,59,273
435418,43.045586,0.176491,0.425,4,435419,7,14,44,163
423311,2.523617,0.302844,0.325,2,423312,7,18,76,350
470457,1.054313,1.054313,1.902,1,483591,6,10,35,95
409469,0.214835,0.214835,0.783,1,409124,4,15,53,190
456764,0.113144,0.113144,0.456,1,457187,6,10,60,212
423304,0.189269,0.189269,0.588,1,423165,7,18,64,377
441617,0.138533,0.138533,0.588,1,440986,7,14,44,374
428027,0.201796,0.201796,0.355,1,424514,5,9,71,397
449831,0.176145,0.176145,0.425,1,450378,6,8,84,324
464028,0.389365,0.389365,0.354,1,480341,5,9,29,112
480344,205.73196,0.515091,0.679,5,480345,5,9,29,112
425440,0.327989,0.327989,0.547,1,425595,5,9,24,227
475518,1.34212,0.401398,0.64,2,475519,5,9,29,296
388112,0.202658,0.202658,0.422,1,377852,4,5,56,161
462130,0.125631,0.125631,0.552,1,467336,5,13,43,172
469246,0.338922,0.338922,0.95,1,470226,5,9,29,264
402560,0.607038,0.607038,0.97,1,402394,4,11,30,83
458511,0.389621,0.389621,0.425,1,458052,5,13,43,321
386170,35.211594,0.759869,1.234,4,399713,4,5,72,195
