link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4,vo6,vo5,vo4,la6,la5,la4
401048,0.26562199999999997,0.26562199999999997,0.7829999999999999,1,401861,4,15,53,423,0.20993669096136777,0.23611382609719062,0.22054343005778146,0.20119312529290553,0.3318141509637815,0.30612236224645534
459613,0.753988,0.188505,0.42100000000000004,2,459614,5,9,29,104,0.1725311434113066,0.15303860946905487,0.20482160585562353,0.18965075731705947,0.18223097508297778,0.19048220302574384
462161,0.22613699999999998,0.22613699999999998,0.7809999999999999,1,462134,6,10,51,196,0.3092160324214545,0.20718303266636687,0.27639123040174296,0.2469806903309755,0.22780865929110866,0.19564706437073676
433612,0.13864200000000002,0.13864200000000002,0.457,1,434055,6,8,83,417,0.3092160324214545,0.2220230908344562,0.44769729123527274,0.2469806903309755,0.2473770798226895,0.2507179947983208
442978,4.658503,0.012593,0.131,3,442979,5,13,99,384,0.1725311434113066,0.15568474361812348,0.16275744386645663,0.18965075731705947,0.21917946639148875,0.1749541633794425
405323,9.671917,0.543798,0.425,3,405324,4,7,87,314,0.20993669096136777,0.22985273100157666,0.25601727702879395,0.20119312529290553,0.2739009018557972,0.2908650791342238
466832,0.6655,0.6655,1.2229999999999999,1,468379,6,10,74,201,0.3092160324214545,0.20718303266636687,0.17305328507709722,0.2469806903309755,0.22780865929110866,0.20593919633006827
443987,10.310572,0.591874,0.9009999999999999,3,442089,3,4,52,340,0.317589521965916,0.3714384608867181,0.4273350996345312,0.22972279995357875,0.22178434675607697,0.16999267482864505
436096,0.65525,0.65525,1.47,1,439045,3,4,63,191,0.317589521965916,0.3714384608867181,0.37023844971200714,0.22972279995357875,0.22178434675607697,0.1521046601286242
441594,0.264467,0.264467,0.7190000000000001,1,442393,6,8,21,400,0.3092160324214545,0.2220230908344562,0.3915566579421091,0.2469806903309755,0.2473770798226895,0.2528176618282636
414981,0.41676499999999994,0.41676499999999994,0.7509999999999999,1,434447,3,3,6,16,0.317589521965916,0.3193739991870662,0.3600642235817361,0.22972279995357875,0.17543430955936307,0.1791884820947949
450510,0.654195,0.654195,0.996,1,450910,6,10,60,301,0.3092160324214545,0.20718303266636687,0.21462995052539416,0.2469806903309755,0.22780865929110866,0.2070789801523257
485140,1.002461,0.238071,0.5870000000000001,2,487690,6,10,81,304,0.3092160324214545,0.20718303266636687,0.24722580157805213,0.2469806903309755,0.22780865929110866,0.2061635082936598
407091,5.965991000000001,0.176993,0.425,3,407092,4,7,19,288,0.20993669096136777,0.22985273100157666,0.19122326607005816,0.20119312529290553,0.2739009018557972,0.3657168100072826
428676,5.38397,0.113499,0.451,3,428677,7,18,64,393,0.14549624075576248,0.12262997237437463,0.16569590666497272,0.1609964612248076,0.23188933075131038,0.15874360137625756
437058,0.201586,0.201586,0.6509999999999999,1,437640,5,9,29,85,0.1725311434113066,0.15303860946905487,0.20482160585562353,0.18965075731705947,0.18223097508297778,0.19048220302574384
462731,0.527644,0.527644,1.175,1,463137,6,10,51,196,0.3092160324214545,0.20718303266636687,0.27639123040174296,0.2469806903309755,0.22780865929110866,0.19564706437073676
464631,2.0472669999999997,0.540065,1.023,2,464632,6,10,32,88,0.3092160324214545,0.20718303266636687,0.2307778329551325,0.2469806903309755,0.22780865929110866,0.17844142719071426
405513,0.24020300000000003,0.24020300000000003,0.748,1,409129,4,15,53,190,0.20993669096136777,0.23611382609719062,0.22054343005778146,0.20119312529290553,0.3318141509637815,0.30612236224645534
