link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4
329250,0.509694,0.509694,1.013,1,328189,2,6,22,84
300591,7.999008,0.268365,0.195,3,300592,2,8,18,108
310840,4.696845,0.255315,0.589,3,309945,2,3,21,134
317583,0.318908,0.318908,0.426,1,317229,2,6,32,82
322189,0.382537,0.382537,0.618,1,325459,2,6,11,25
348666,0.343365,0.343365,0.357,1,349605,2,7,35,137
307553,0.510792,0.510792,0.424,1,308077,2,3,7,83
321323,0.267801,0.267801,0.525,1,320677,3,5,31,66
306252,0.370346,0.370346,0.49,1,305309,3,5,34,70
322613,13.271676,0.931083,1.211,3,322614,2,7,14,89
282204,0.588961,0.588961,0.881,1,282853,2,2,2,99
316702,1.645751,0.216881,0.455,2,316703,3,5,25,64
346348,16.741732,0.7764,1.047,4,346349,2,7,35,72
308772,0.242585,0.242585,0.85,1,308943,3,5,12,31
293964,0.895101,0.895101,1.207,1,294161,3,9,27,68
328808,3.096657,0.67545,1.274,2,326395,2,3,17,80
296111,0.204558,0.204558,0.456,1,307871,3,5,9,20
347007,0.546918,0.546918,0.744,1,348659,2,7,24,87
335533,0.305617,0.305617,0.653,1,339168,2,6,29,74
343916,0.636204,0.636204,1.111,1,343033,2,7,24,50
275978,0.448388,0.448388,1.111,1,313517,2,2,2,2
278634,5.263517,0.012808,0.098,3,278635,3,4,23,115
296291,0.639246,0.639246,0.951,1,296657,2,3,5,7
297957,0.332345,0.332345,0.59,1,322814,2,3,17,37
298754,5.726297,0.473018,0.849,2,296106,3,9,28,110
322801,67.541916,0.498108,1.242,4,322802,2,3,17,44
312066,3.931284,0.791508,1.57,2,307840,3,5,16,36
327695,0.280368,0.280368,0.458,1,327194,2,7,14,89
293101,0.242988,0.242988,0.358,1,297361,3,4,8,76
281657,2.227902,0.076836,0.949,2,313510,2,2,2,2
303574,0.43434,0.43434,0.848,1,305676,3,5,9,78
310677,1.710817,0.063828,0.295,2,310998,3,5,25,98
302543,0.804875,0.804875,1.467,1,302936,3,5,12,26
325462,174.13048,0.408157,0.852,5,325463,2,6,11,25
313445,2.284271,0.433826,0.327,2,313446,3,5,25,64
292235,422.84903,0.716675,0.622,6,292236,3,4,8,14
323769,0.522714,0.522714,1.045,1,325458,2,6,11,25
348656,0.610442,0.610442,1.079,1,347388,2,7,24,102
348492,0.190762,0.190762,0.748,1,347999,2,7,35,137
280498,8.361165,1.037219,1.434,3,280499,3,4,23,106
287360,2.20062,0.025593,0.327,2,287361,2,2,2,105
296284,0.242907,0.242907,0.719,1,295490,3,4,8,76
285400,8.701513,0.076801,0.295,3,285401,2,2,2,105
348661,4.184328,0.15263,0.357,2,348663,2,7,24,87
321001,2.461323,0.012754,0.097,2,321002,2,6,22,71
309345,1.506644,0.012767,0.163,2,309346,3,5,25,98
325287,0.254944,0.254944,0.552,1,325139,2,3,17,80
323293,1.18575,1.18575,1.399,1,323507,2,6,22,114
314246,2.335346,0.025527,0.163,2,314247,2,3,21,134
327520,0.267633,0.267633,0.424,1,327196,2,7,14,89
313500,807.10016,0.140808,0.327,6,313501,2,2,2,4
346345,13.343772,0.089083,0.326,4,346346,2,7,35,72
329611,5.478442,1.733079,2.52,3,329612,2,7,14,112
324325,0.216728,0.216728,0.587,1,325451,2,6,11,25
287362,4.619031,0.05119,0.164,2,287363,2,2,2,105
327014,0.140197,0.140197,0.392,1,328413,2,6,11,125
306681,0.86838,0.86838,1.337,1,311014,2,8,18,53
